"","FECHA","Nro_Vehiculos","NRO_TOTAL_VEHICULOS"
"754",2014-01-23,1109,1109
"755",2014-01-24,1154,1154
"756",2014-01-25,342,342
"757",2014-01-26,3,3
"758",2014-01-27,822,822
"759",2014-01-28,1038,1038
"760",2014-01-29,1190,1190
"761",2014-01-30,1219,1219
"762",2014-01-31,1269,1269
"763",2014-02-01,247,247
"764",2014-02-02,2,2
"765",2014-02-03,595,595
"766",2014-02-04,751,751
"767",2014-02-05,861,861
"768",2014-02-06,882,882
"769",2014-02-07,918,918
"770",2014-02-08,272,272
"771",2014-02-09,3,3
"772",2014-02-10,654,654
"773",2014-02-11,826,826
"774",2014-02-12,946,946
"775",2014-02-13,969,969
"776",2014-02-14,1009,1009
"777",2014-02-15,299,299
"778",2014-02-16,3,3
"779",2014-02-17,719,719
"780",2014-02-18,908,908
"781",2014-02-19,1040,1040
"782",2014-02-20,1065,1065
"783",2014-02-21,1109,1109
"784",2014-02-22,328,328
"785",2014-02-23,3,3
"786",2014-02-24,790,790
"787",2014-02-25,998,998
"788",2014-02-26,1144,1144
"789",2014-02-27,1171,1171
"790",2014-02-28,1219,1219
"791",2014-03-01,283,283
"792",2014-03-02,3,3
"793",2014-03-03,681,681
"794",2014-03-04,860,860
"795",2014-03-05,985,985
"796",2014-03-06,1009,1009
"797",2014-03-07,1050,1050
"798",2014-03-08,311,311
"799",2014-03-09,3,3
"800",2014-03-10,748,748
"801",2014-03-11,945,945
"802",2014-03-12,1083,1083
"803",2014-03-13,1109,1109
"804",2014-03-14,1155,1155
"805",2014-03-15,342,342
"806",2014-03-16,3,3
"807",2014-03-17,823,823
"808",2014-03-18,1039,1039
"809",2014-03-19,1190,1190
"810",2014-03-20,1219,1219
"811",2014-03-21,1269,1269
"812",2014-03-22,376,376
"813",2014-03-23,4,4
"814",2014-03-24,51,51
"815",2014-03-25,1142,1142
"816",2014-03-26,1308,1308
"817",2014-03-27,1340,1340
"818",2014-03-28,1395,1395
"819",2014-03-29,413,413
"820",2014-03-30,4,4
"821",2014-03-31,994,994
"822",2014-04-01,826,826
"823",2014-04-02,947,947
"824",2014-04-03,970,970
"825",2014-04-04,1009,1009
"826",2014-04-05,299,299
"827",2014-04-06,3,3
"828",2014-04-07,719,719
"829",2014-04-08,908,908
"830",2014-04-09,1041,1041
"831",2014-04-10,1066,1066
"832",2014-04-11,1110,1110
"833",2014-04-12,328,328
"834",2014-04-13,2,2
"835",2014-04-14,398,398
"836",2014-04-15,503,503
"837",2014-04-16,576,576
"838",2014-04-17,590,590
"839",2014-04-18,614,614
"840",2014-04-19,182,182
"841",2014-04-20,3,3
"842",2014-04-21,869,869
"843",2014-04-22,1097,1097
"844",2014-04-23,1257,1257
"845",2014-04-24,1288,1288
"846",2014-04-25,1341,1341
"847",2014-04-26,397,397
"848",2014-04-27,4,4
"849",2014-04-28,955,955
"850",2014-04-29,1206,1206
"851",2014-04-30,1382,1382
"852",2014-05-01,56,56
"853",2014-05-02,1028,1028
"854",2014-05-03,304,304
"855",2014-05-04,3,3
"856",2014-05-05,732,732
"857",2014-05-06,925,925
"858",2014-05-07,1060,1060
"859",2014-05-08,1085,1085
"860",2014-05-09,1130,1130
"861",2014-05-10,335,335
"862",2014-05-11,0,0
"863",2014-05-12,805,805
"864",2014-05-13,1017,1017
"865",2014-05-14,1165,1165
"866",2014-05-15,1193,1193
"867",2014-05-16,1242,1242
"868",2014-05-17,368,368
"869",2014-05-18,3,3
"870",2014-05-19,885,885
"871",2014-05-20,1117,1117
"872",2014-05-21,1281,1281
"873",2014-05-22,1311,1311
"874",2014-05-23,1365,1365
"875",2014-05-24,404,404
"876",2014-05-25,4,4
"877",2014-05-26,973,973
"878",2014-05-27,1228,1228
"879",2014-05-28,1408,1408
"880",2014-05-29,1442,1442
"881",2014-05-30,1501,1501
"882",2014-05-31,444,444
"883",2014-06-01,3,3
"884",2014-06-02,40,40
"885",2014-06-03,889,889
"886",2014-06-04,1019,1019
"887",2014-06-05,1043,1043
"888",2014-06-06,1086,1086
"889",2014-06-07,322,322
"890",2014-06-08,3,3
"891",2014-06-09,774,774
"892",2014-06-10,977,977
"893",2014-06-11,1120,1120
"894",2014-06-12,1146,1146
"895",2014-06-13,1194,1194
"896",2014-06-14,353,353
"897",2014-06-15,3,3
"898",2014-06-16,850,850
"899",2014-06-17,1074,1074
"900",2014-06-18,1231,1231
"901",2014-06-19,1260,1260
"902",2014-06-20,1312,1312
"903",2014-06-21,388,388
"904",2014-06-22,4,4
"905",2014-06-23,53,53
"906",2014-06-24,1180,1180
"907",2014-06-25,1353,1353
"908",2014-06-26,1385,1385
"909",2014-06-27,1442,1442
"910",2014-06-28,427,427
"911",2014-06-29,4,4
"912",2014-06-30,58,58
"913",2014-07-01,905,905
"914",2014-07-02,1037,1037
"915",2014-07-03,1062,1062
"916",2014-07-04,1106,1106
"917",2014-07-05,327,327
"918",2014-07-06,3,3
"919",2014-07-07,788,788
"920",2014-07-08,995,995
"921",2014-07-09,1140,1140
